,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,49,No,Travel_Frequently,279,Research & Development,8,Below College,Life Sciences,1,2,High,Male,61,Medium,2,Research Scientist,Medium,Married,5130,24907,1,Y,No,23,Outstanding,Very High,80,1,10,3,Better,10,7,1,7
2,37,Yes,Travel_Rarely,1373,Research & Development,2,College,Other,1,4,Very High,Male,92,Medium,1,Laboratory Technician,High,Single,2090,2396,6,Y,Yes,15,Excellent,Medium,80,0,7,3,Better,0,0,0,0
3,33,No,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,1,5,Very High,Female,56,High,1,Research Scientist,High,Married,2909,23159,1,Y,Yes,11,Excellent,High,80,0,8,3,Better,8,7,3,0
5,32,No,Travel_Frequently,1005,Research & Development,2,College,Life Sciences,1,8,Very High,Male,79,High,1,Laboratory Technician,Very High,Single,3068,11864,0,Y,No,13,Excellent,High,80,0,8,2,Good,7,7,3,6
7,30,No,Travel_Rarely,1358,Research & Development,24,Below College,Life Sciences,1,11,Very High,Male,67,High,1,Laboratory Technician,High,Divorced,2693,13335,1,Y,No,22,Outstanding,Medium,80,1,1,2,Better,1,0,0,0
8,38,No,Travel_Frequently,216,Research & Development,23,Bachelor,Life Sciences,1,12,Very High,Male,44,Medium,3,Manufacturing Director,High,Single,9526,8787,0,Y,No,21,Outstanding,Medium,80,0,10,2,Better,9,7,1,8
9,36,No,Travel_Rarely,1299,Research & Development,27,Bachelor,Medical,1,13,High,Male,94,High,2,Healthcare Representative,High,Married,5237,16577,6,Y,No,13,Excellent,Medium,80,2,17,3,Good,7,7,7,7
11,29,No,Travel_Rarely,153,Research & Development,15,College,Life Sciences,1,15,Very High,Female,49,Medium,2,Laboratory Technician,High,Single,4193,12682,0,Y,Yes,12,Excellent,Very High,80,0,10,3,Better,9,5,0,8
12,31,No,Travel_Rarely,670,Research & Development,26,Below College,Life Sciences,1,16,Low,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1,Y,No,17,Excellent,Very High,80,1,5,1,Good,5,2,4,3
13,34,No,Travel_Rarely,1346,Research & Development,19,College,Medical,1,18,Medium,Male,93,High,1,Laboratory Technician,Very High,Divorced,2661,8758,0,Y,No,11,Excellent,High,80,1,3,2,Better,2,2,1,2
